status,polling_unit_code,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
exist and not blur,16/08/03/012,1.0,0.0,1.0,1
exist and not blur,19/38/10/010,1.0,0.0,1.0,1
exist and not blur,16/23/09/007,1.0,1.0,0.0,1
exist and not blur,13/13/02/004,1.0,1.0,1.0,0
exist and not blur,19/44/07/001,0.0,1.0,1.0,1
exist and not blur,36/07/10/025,1.0,1.0,1.0,0
exist and not blur,01/15/01/016,0.0,0.0,0.0,0
exist and not blur,19/04/02/007,0.0,1.0,1.0,1
exist and not blur,16/01/01/024,0.0,1.0,1.0,1
exist and not blur,14/08/02/013,1.0,0.0,1.0,1
exist and not blur,20/29/03/015,1.0,1.0,1.0,0
exist and not blur,20/12/03/008,1.0,1.0,1.0,0
exist and not blur,09/02/08/012,1.0,1.0,1.0,0
exist and not blur,19/35/03/016,1.0,1.0,1.0,0
exist and not blur,19/31/05/086,1.0,1.0,0.0,1
exist and not blur,13/05/07/009,1.0,1.0,1.0,0
exist and not blur,19/09/07/004,0.0,1.0,1.0,1
exist and not blur,19/05/02/042,0.0,1.0,1.0,1
exist and not blur,19/31/06/014,1.0,1.0,1.0,0
exist and not blur,36/07/09/010,0.0,1.0,1.0,1
exist and not blur,13/14/01/003,1.0,1.0,1.0,0
exist and not blur,14/13/18/012,1.0,1.0,1.0,0
exist and not blur,20/34/04/011,1.0,1.0,1.0,0
exist and not blur,16/23/02/017,1.0,1.0,0.0,1
exist and not blur,14/11/06/003,0.0,1.0,1.0,1
exist and not blur,16/09/08/015,0.0,1.0,1.0,0
exist and not blur,01/11/03/100,0.0,1.0,1.0,1
exist and not blur,19/10/05/008,1.0,1.0,1.0,0
exist and not blur,36/05/06/002,1.0,1.0,1.0,0
exist and not blur,16/08/03/011,1.0,1.0,1.0,0
exist and not blur,19/09/03/034,0.0,1.0,1.0,0
exist and not blur,19/37/09/028,1.0,0.0,1.0,0
exist and not blur,20/23/05/014,1.0,1.0,0.0,1
exist and not blur,36/13/04/008,1.0,1.0,1.0,0
exist and not blur,09/15/08/006,1.0,0.0,1.0,0
exist and not blur,16/03/09/009,1.0,1.0,1.0,0
exist and not blur,20/33/04/012,1.0,0.0,1.0,1
exist and not blur,14/05/03/009,1.0,0.0,0.0,0
exist and not blur,19/03/06/008,0.0,1.0,1.0,1
exist and not blur,20/21/08/007,1.0,1.0,1.0,0
exist and not blur,16/06/12/010,0.0,1.0,1.0,1
exist and not blur,14/15/01/019,1.0,1.0,1.0,0
exist and not blur,13/11/08/008,0.0,0.0,1.0,1
exist and not blur,14/13/05/001,1.0,0.0,0.0,0
exist and not blur,19/11/01/007,1.0,1.0,0.0,1
exist and not blur,19/22/01/002,1.0,1.0,1.0,0
exist and not blur,19/17/11/007,1.0,1.0,0.0,1
exist and not blur,16/07/07/014,0.0,0.0,1.0,0
exist and not blur,19/35/06/005,1.0,1.0,1.0,0
exist and not blur,01/07/10/012,1.0,1.0,1.0,0
exist and not blur,16/05/05/017,1.0,1.0,1.0,0
exist and not blur,09/15/13/017,1.0,1.0,1.0,0
exist and not blur,19/10/11/007,1.0,0.0,1.0,1
exist and not blur,16/08/11/013,1.0,1.0,1.0,0
exist and not blur,14/08/14/002,1.0,0.0,1.0,1
exist and not blur,20/29/10/010,0.0,1.0,1.0,1
exist and not blur,19/25/07/005,1.0,1.0,1.0,0
exist and not blur,36/08/06/020,1.0,1.0,1.0,0
exist and not blur,19/23/08/008,1.0,1.0,1.0,0
exist and not blur,09/18/10/010,1.0,0.0,1.0,1
exist and not blur,16/21/06/001,0.0,1.0,1.0,0
exist and not blur,20/26/11/006,0.0,1.0,1.0,1
exist and not blur,19/19/05/019,1.0,0.0,1.0,1
exist and not blur,19/24/09/015,1.0,1.0,1.0,0
exist and not blur,01/17/03/005,0.0,1.0,1.0,1
exist and not blur,36/04/03/019,0.0,1.0,1.0,1
exist and not blur,19/19/06/028,1.0,1.0,0.0,0
exist and not blur,19/08/09/002,1.0,0.0,1.0,1
exist and not blur,09/14/04/006,1.0,1.0,0.0,1
exist and not blur,20/12/10/021,0.0,1.0,1.0,1
exist and not blur,19/31/08/064,0.0,0.0,1.0,0
exist and not blur,36/08/06/029,1.0,1.0,1.0,0
exist and not blur,14/04/11/038,0.0,1.0,1.0,1
exist and not blur,16/13/07/008,0.0,1.0,1.0,1
exist and not blur,36/06/09/019,0.0,1.0,1.0,1
exist and not blur,01/03/06/016,0.0,1.0,1.0,0
exist and not blur,20/21/04/028,1.0,1.0,1.0,0
exist and not blur,20/05/03/016,0.0,1.0,1.0,1
exist and not blur,13/02/10/005,1.0,1.0,1.0,0
exist and not blur,15/05/04/021,0.0,1.0,1.0,1
exist and not blur,19/01/01/016,1.0,0.0,1.0,1
